94489280512,LOCAL,,Request,0,,<empty>,2,Request,,,0,,express:Request
94489280513,LOCAL,,Response,0,,<empty>,2,Response,,,0,,express:Response
94489280514,LOCAL,,geminiService,0,services/ai/geminiService.ts::program:GeminiService;GeminiService,<empty>,3,geminiService,,,0,,ANY
94489280515,LOCAL,,projectInsightsService,0,services/ai/projectInsightsService.ts::program:ProjectInsightsService;ProjectInsightsService,<empty>,4,projectInsightsService,,,0,,ANY
94489280516,LOCAL,,parseAndCorrectInsights,0,,<empty>,5,parseAndCorrectInsights,,,0,,(rawResponse: __ecma.String) => ANY
94489280517,LOCAL,,saveProjectInsights,0,,<empty>,6,saveProjectInsights,,,0,,"(projectName: __ecma.String, insightsData: ANY) => Promise<void>"
94489280518,LOCAL,,getLatestProjectInsights,0,,<empty>,6,getLatestProjectInsights,,,0,,(projectName: __ecma.String) => Promise<any>
94489280519,LOCAL,,getProjectInsightsHistoryById,0,,<empty>,6,getProjectInsightsHistoryById,,,0,,"(req: Request<ParamsDictionary, ANY, ANY, ParsedQs, Record<string, ANY>>, res: Response<any, Record<string, ANY>>) => Promise<...>"
94489280520,LOCAL,,getAllLatestProjectInsights,0,,<empty>,6,getAllLatestProjectInsights,,,0,,() => Promise<any[]>
94489280521,LOCAL,,_tmp_1,36,,<empty>,15,_tmp_1,,,0,,ANY
94489280522,LOCAL,,_tmp_2,15,,<empty>,20,_tmp_2,,,0,,ANY
94489280523,LOCAL,,_tmp_4,27,,<empty>,25,_tmp_4,,,0,,ANY
94489280524,LOCAL,,{ prompt },12,,<empty>,34,{ prompt },,,0,ANY,ANY
94489280525,LOCAL,,_tmp_5,12,,<empty>,34,_tmp_5,,,0,,express:Request:<member>(body)
94489280526,LOCAL,,prompt,14,,<empty>,34,prompt,,,0,,express:Request:<member>(body):<member>(prompt)
94489280527,LOCAL,,_tmp_7,36,,<empty>,37,_tmp_7,,,0,,ANY
94489280528,LOCAL,,response,12,,<empty>,40,response,,,0,__ecma.String,__ecma.String
94489280529,LOCAL,,_tmp_8,15,,<empty>,41,_tmp_8,,,0,,ANY
94489280530,LOCAL,,_tmp_10,27,,<empty>,43,_tmp_10,,,0,,ANY
94489280531,LOCAL,,"{ prompt, fileData, mimeType }",12,,<empty>,52,"{ prompt, fileData, mimeType }",,,0,ANY,ANY
94489280532,LOCAL,,_tmp_11,12,,<empty>,52,_tmp_11,,,0,,express:Request:<member>(body)
94489280533,LOCAL,,prompt,14,,<empty>,52,prompt,,,0,,express:Request:<member>(body):<member>(prompt)
94489280534,LOCAL,,fileData,22,,<empty>,52,fileData,,,0,,express:Request:<member>(body):<member>(fileData)
94489280535,LOCAL,,mimeType,32,,<empty>,52,mimeType,,,0,,express:Request:<member>(body):<member>(mimeType)
94489280536,LOCAL,,_tmp_13,36,,<empty>,55,_tmp_13,,,0,,ANY
94489280537,LOCAL,,_tmp_15,36,,<empty>,59,_tmp_15,,,0,,ANY
94489280538,LOCAL,,isExcel,12,,<empty>,63,isExcel,,,0,__ecma.Boolean,__ecma.Boolean
94489280539,LOCAL,,response,10,,<empty>,66,response,,,0,__ecma.String,__ecma.String
94489280540,LOCAL,,_tmp_16,15,,<empty>,76,_tmp_16,,,0,,ANY
94489280541,LOCAL,,_tmp_18,27,,<empty>,78,_tmp_18,,,0,,ANY
94489280542,LOCAL,,{ projectName },12,,<empty>,87,{ projectName },,,0,ANY,ANY
94489280543,LOCAL,,_tmp_19,12,,<empty>,87,_tmp_19,,,0,,express:Request:<member>(body)
94489280544,LOCAL,,projectName,14,,<empty>,87,projectName,,,0,,__ecma.String
94489280545,LOCAL,,_tmp_21,36,,<empty>,90,_tmp_21,,,0,,ANY
94489280546,LOCAL,,rawInsights,12,,<empty>,96,rawInsights,,,0,__ecma.String,__ecma.String
94489280547,LOCAL,,correctedInsights,12,,<empty>,100,correctedInsights,,,0,ANY,JSON.parse:<returnValue>
94489280548,LOCAL,,_tmp_22,15,,<empty>,108,_tmp_22,,,0,,ANY
94489280549,LOCAL,,_tmp_24,27,,<empty>,116,_tmp_24,,,0,,ANY
94489280550,LOCAL,,{ projectName },12,,<empty>,125,{ projectName },,,0,ANY,ANY
94489280551,LOCAL,,_tmp_25,12,,<empty>,125,_tmp_25,,,0,,express:Request:<member>(params)
94489280552,LOCAL,,projectName,14,,<empty>,125,projectName,,,0,,__ecma.String
94489280553,LOCAL,,_tmp_27,36,,<empty>,128,_tmp_27,,,0,,ANY
94489280554,LOCAL,,savedInsights,12,,<empty>,132,savedInsights,,,0,ANY,ANY
94489280555,LOCAL,,_tmp_29,36,,<empty>,135,_tmp_29,,,0,,ANY
94489280556,LOCAL,,_tmp_30,15,,<empty>,141,_tmp_30,,,0,,ANY
94489280557,LOCAL,,_tmp_31,16,,<empty>,144,_tmp_31,,,0,,ANY
94489280558,LOCAL,,_tmp_33,27,,<empty>,153,_tmp_33,,,0,,ANY
94489280559,LOCAL,,{ projectId },12,,<empty>,162,{ projectId },,,0,ANY,ANY
94489280560,LOCAL,,_tmp_34,12,,<empty>,162,_tmp_34,,,0,,express:Request:<member>(params)
94489280561,LOCAL,,projectId,14,,<empty>,162,projectId,,,0,,__ecma.String
94489280562,LOCAL,,_tmp_36,36,,<empty>,165,_tmp_36,,,0,,ANY
94489280563,LOCAL,,insightsHistory,12,,<empty>,169,insightsHistory,,,0,__ecma.Array,__ecma.Array
94489280564,LOCAL,,_tmp_37,24,,<empty>,172,_tmp_37,,,0,,ANY
94489280565,LOCAL,,_tmp_38,15,,<empty>,178,_tmp_38,,,0,,ANY
94489280566,LOCAL,,_tmp_40,27,,<empty>,184,_tmp_40,,,0,,ANY
94489280567,LOCAL,,allInsights,12,,<empty>,194,allInsights,,,0,__ecma.Array,__ecma.Array
94489280568,LOCAL,,_tmp_41,24,,<empty>,197,_tmp_41,,,0,,ANY
94489280569,LOCAL,,formattedInsights,12,__ecma.Array;__ecma.Array:map:<returnValue>,<empty>,204,formattedInsights,,,0,__ecma.Array,__ecma.Array
94489280570,LOCAL,,insightsData,14,,<empty>,205,insightsData,,,0,ANY,project:insights_data:<returnValue>:<member>(insights_data)
94489280571,LOCAL,,sectionScores,14,,<empty>,206,sectionScores,,,0,ANY,ANY
94489280572,LOCAL,,_tmp_42,35,,<empty>,206,_tmp_42,,,0,,ANY
94489280573,LOCAL,,sectionName,18,,<empty>,211,sectionName,,,0,ANY,ANY
94489280574,LOCAL,,_tmp_46,15,,<empty>,216,_tmp_46,,,0,,ANY
94489280575,LOCAL,,_tmp_47,19,,<empty>,221,_tmp_47,,,0,,ANY
94489280576,LOCAL,,_tmp_48,15,,<empty>,236,_tmp_48,,,0,,ANY
94489280577,LOCAL,,_tmp_50,27,,<empty>,242,_tmp_50,,,0,,ANY
94489280578,LOCAL,,AIController,0,,<empty>,8,AIController,,,0,,controllers/aiController.ts::program:AIController
94489280579,LOCAL,,_tmp_51,15,,<empty>,247,_tmp_51,,,0,,controllers/aiController.ts::program:AIController
94489280580,LOCAL,,_tmp_51,15,,<empty>,247,_tmp_51,,,0,,controllers/aiController.ts::program:AIController
