90194313216,LITERAL,1,,,500,26,__ecma.Number,15,,,3,,__ecma.Number
90194313217,LITERAL,2,,,"""Gemini API key not configured. Please set GEMINI_API_KEY in environment variables.""",17,__ecma.String,16,,,2,,__ecma.String
90194313218,LITERAL,2,,,true,19,__ecma.Boolean,21,,,2,,__ecma.Boolean
90194313219,LITERAL,2,,,"""Gemini AI service is configured and ready""",17,__ecma.String,22,,,2,,__ecma.String
90194313220,LITERAL,1,,,500,17,__ecma.Number,25,,,3,,__ecma.Number
90194313221,LITERAL,1,,,400,26,__ecma.Number,37,,,3,,__ecma.Number
90194313222,LITERAL,2,,,"""Prompt is required""",45,__ecma.String,37,,,2,,__ecma.String
90194313223,LITERAL,1,,,500,17,__ecma.Number,43,,,3,,__ecma.Number
90194313224,LITERAL,1,,,400,26,__ecma.Number,55,,,3,,__ecma.Number
90194313225,LITERAL,2,,,"""Prompt is required""",45,__ecma.String,55,,,2,,__ecma.String
90194313226,LITERAL,1,,,400,26,__ecma.Number,59,,,3,,__ecma.Number
90194313227,LITERAL,2,,,"""File data is required""",45,__ecma.String,59,,,2,,__ecma.String
90194313228,LITERAL,2,,,"""application/vnd.openxmlformats-officedocument.spreadsheetml.sheet""",35,__ecma.String,63,,,2,,__ecma.String
90194313229,LITERAL,2,,,"""application/vnd.ms-excel""",35,__ecma.String,64,,,2,,__ecma.String
90194313230,LITERAL,1,,,500,17,__ecma.Number,78,,,3,,__ecma.Number
90194313231,LITERAL,1,,,400,26,__ecma.Number,90,,,3,,__ecma.Number
90194313232,LITERAL,2,,,"""Project name is required""",45,__ecma.String,90,,,2,,__ecma.String
90194313233,LITERAL,1,,,"""📊 Generating insights for project: """,19,__ecma.String,93,,,1,,__ecma.String
90194313234,LITERAL,3,,,"""""",69,__ecma.String,93,,,3,,__ecma.String
90194313235,LITERAL,1,,,"""🔍 Parsing and correcting scores...""",18,__ecma.String,99,,,3,,__ecma.String
90194313236,LITERAL,1,,,"""💾 Saving corrected insights to database...""",18,__ecma.String,103,,,3,,__ecma.String
90194313237,LITERAL,1,,,"""✅ Insights generated, corrected, and saved successfully""",18,__ecma.String,106,,,3,,__ecma.String
90194313238,LITERAL,2,,,true,15,__ecma.Boolean,112,,,2,,__ecma.Boolean
90194313239,LITERAL,1,,,"""❌ Project insights error:""",20,__ecma.String,115,,,3,,__ecma.String
90194313240,LITERAL,1,,,500,17,__ecma.Number,116,,,3,,__ecma.Number
90194313241,LITERAL,1,,,400,26,__ecma.Number,128,,,3,,__ecma.Number
90194313242,LITERAL,2,,,"""Project name is required""",45,__ecma.String,128,,,2,,__ecma.String
90194313243,LITERAL,1,,,"""📖 Fetching insights for project: """,19,__ecma.String,131,,,1,,__ecma.String
90194313244,LITERAL,3,,,"""""",67,__ecma.String,131,,,3,,__ecma.String
90194313245,LITERAL,1,,,404,26,__ecma.Number,135,,,3,,__ecma.Number
90194313246,LITERAL,2,,,"""No insights found for this project""",17,__ecma.String,136,,,2,,__ecma.String
90194313247,LITERAL,2,,,"""Generate insights first using POST /api/ai/project-insights""",19,__ecma.String,137,,,2,,__ecma.String
90194313248,LITERAL,1,,,"""❌ Failed to get project insights:""",20,__ecma.String,152,,,3,,__ecma.String
90194313249,LITERAL,1,,,500,17,__ecma.Number,153,,,3,,__ecma.Number
90194313250,LITERAL,1,,,400,26,__ecma.Number,165,,,3,,__ecma.Number
