146028888064,TAG,UNKNOWN_METHOD,"FULL_NAME,ZXhwcmVzczpSZXF1ZXN0,ALIAS,UmVxdWVzdA==,RECEIVER,dGhpcw=="
146028888065,TAG,UNKNOWN_TYPE_DECL,express:Request
146028888066,TAG,UNKNOWN_METHOD,"FULL_NAME,ZXhwcmVzczpSZXNwb25zZQ==,ALIAS,UmVzcG9uc2U=,RECEIVER,dGhpcw=="
146028888067,TAG,UNKNOWN_TYPE_DECL,express:Response
146028888068,TAG,UNKNOWN_METHOD,"FULL_NAME,Li4vc2VydmljZXMvYWkvZ2VtaW5pU2VydmljZTpnZW1pbmlTZXJ2aWNl,ALIAS,Z2VtaW5pU2VydmljZQ==,RECEIVER,dGhpcw=="
146028888069,TAG,UNKNOWN_TYPE_DECL,../services/ai/geminiService:geminiService
146028888070,TAG,UNKNOWN_METHOD,"FULL_NAME,Li4vc2VydmljZXMvYWkvcHJvamVjdEluc2lnaHRzU2VydmljZTpwcm9qZWN0SW5zaWdodHNTZXJ2aWNl,ALIAS,cHJvamVjdEluc2lnaHRzU2VydmljZQ==,RECEIVER,dGhpcw=="
146028888071,TAG,UNKNOWN_TYPE_DECL,../services/ai/projectInsightsService:projectInsightsService
146028888072,TAG,RESOLVED_METHOD,"FULL_NAME,c2VydmljZXMvYWkvaW5zaWdodHNQYXJzZXIudHM6OnByb2dyYW06cGFyc2VBbmRDb3JyZWN0SW5zaWdodHM=,ALIAS,cGFyc2VBbmRDb3JyZWN0SW5zaWdodHM=,RECEIVER,dGhpcw=="
146028888073,TAG,RESOLVED_TYPE_DECL,services/ai/insightsParser.ts::program:parseAndCorrectInsights
146028888074,TAG,RESOLVED_METHOD,"FULL_NAME,ZGIvcXVlcmllcy50czo6cHJvZ3JhbTpzYXZlUHJvamVjdEluc2lnaHRz,ALIAS,c2F2ZVByb2plY3RJbnNpZ2h0cw==,RECEIVER,dGhpcw=="
146028888075,TAG,RESOLVED_TYPE_DECL,db/queries.ts::program:saveProjectInsights
146028888076,TAG,RESOLVED_METHOD,"FULL_NAME,ZGIvcXVlcmllcy50czo6cHJvZ3JhbTpnZXRMYXRlc3RQcm9qZWN0SW5zaWdodHM=,ALIAS,Z2V0TGF0ZXN0UHJvamVjdEluc2lnaHRz,RECEIVER,dGhpcw=="
146028888077,TAG,RESOLVED_TYPE_DECL,db/queries.ts::program:getLatestProjectInsights
