81604378624,JUMP_TARGET,-1,case 'weekly':,4,98,case,,,1,SwitchCase
81604378625,JUMP_TARGET,-1,case 'yearly':,4,104,case,,,8,SwitchCase
81604378626,JUMP_TARGET,-1,case 'monthly':,4,110,case,,,15,SwitchCase
81604378627,JUMP_TARGET,-1,default:,4,111,default,,,17,SwitchCase
81604378628,JUMP_TARGET,-1,case 'A':,6,172,case,,,1,SwitchCase
81604378629,JUMP_TARGET,-1,case 'B':,6,173,case,,,4,SwitchCase
81604378630,JUMP_TARGET,-1,case 'C':,6,174,case,,,7,SwitchCase
81604378631,JUMP_TARGET,-1,case 'D':,6,175,case,,,10,SwitchCase
81604378632,JUMP_TARGET,-1,case 'E':,6,176,case,,,13,SwitchCase
81604378633,JUMP_TARGET,-1,default:,6,177,default,,,16,SwitchCase
