73014444032,IMPORT,"import { Request, Response } from 'express'",2,,Request,express:Request,,,,2,,,-1
73014444033,IMPORT,"import { Request, Response } from 'express'",2,,Response,express:Response,,,,2,,,-1
73014444034,IMPORT,import geminiService from '../services/ai/geminiService',3,,geminiService,../services/ai/geminiService:geminiService,,,,3,,,-1
73014444035,IMPORT,import projectInsightsService from '../services/ai/projectInsightsService',4,,projectInsightsService,../services/ai/projectInsightsService:projectInsightsService,,,,4,,,-1
73014444036,IMPORT,import { parseAndCorrectInsights } from '../services/ai/insightsParser',5,,parseAndCorrectInsights,../services/ai/insightsParser:parseAndCorrectInsights,,,,5,,,-1
73014444037,IMPORT,"import { saveProjectInsights, getLatestProjectInsights, getProjectInsightsHistoryById, getAllLatestProjectInsights } from '../db/queries'",6,,saveProjectInsights,../db/queries:saveProjectInsights,,,,6,,,-1
73014444038,IMPORT,"import { saveProjectInsights, getLatestProjectInsights, getProjectInsightsHistoryById, getAllLatestProjectInsights } from '../db/queries'",6,,getLatestProjectInsights,../db/queries:getLatestProjectInsights,,,,6,,,-1
73014444039,IMPORT,"import { saveProjectInsights, getLatestProjectInsights, getProjectInsightsHistoryById, getAllLatestProjectInsights } from '../db/queries'",6,,getProjectInsightsHistoryById,../db/queries:getProjectInsightsHistoryById,,,,6,,,-1
73014444040,IMPORT,"import { saveProjectInsights, getLatestProjectInsights, getProjectInsightsHistoryById, getAllLatestProjectInsights } from '../db/queries'",6,,getAllLatestProjectInsights,../db/queries:getAllLatestProjectInsights,,,,6,,,-1
73014444041,IMPORT,"import { Request, Response } from 'express'",5,,Request,express:Request,,,,5,,,-1
73014444042,IMPORT,"import { Request, Response } from 'express'",5,,Response,express:Response,,,,5,,,-1
73014444043,IMPORT,import commitMetricsSyncService from '../services/commitMetrics/commitMetricsSyncService',6,,commitMetricsSyncService,../services/commitMetrics/commitMetricsSyncService:commitMetricsSyncService,,,,6,,,-1
73014444044,IMPORT,import commitMetricsDbService from '../services/commitMetrics/commitMetricsDbService',7,,commitMetricsDbService,../services/commitMetrics/commitMetricsDbService:commitMetricsDbService,,,,7,,,-1
73014444045,IMPORT,"import { Request, Response } from 'express'",4,,Request,express:Request,,,,4,,,-1
73014444046,IMPORT,"import { Request, Response } from 'express'",4,,Response,express:Response,,,,4,,,-1
73014444047,IMPORT,"import {
  saveDeploymentFrequency,
  saveLeadTimeChange,
  saveChangeFailureRate,
  saveTimeToRestoreService,
  getDeploymentFrequencyByProject,
  getLeadTimeChangesByProject,
  getChangeFailureRateByProject,
  getTimeToRestoreServiceByProject,
  deleteDeploymentFrequency,
  deleteLeadTimeChange,
  deleteChangeFailureRate,
  deleteTimeToRestoreService,
  searchDeploymentsByIdPrefix,
} from '../services/doraMetrics/doraMetricsDbService'",5,,saveDeploymentFrequency,../services/doraMetrics/doraMetricsDbService:saveDeploymentFrequency,,,,5,,,-1
73014444048,IMPORT,"import {
  saveDeploymentFrequency,
  saveLeadTimeChange,
  saveChangeFailureRate,
  saveTimeToRestoreService,
  getDeploymentFrequencyByProject,
  getLeadTimeChangesByProject,
  getChangeFailureRateByProject,
  getTimeToRestoreServiceByProject,
  deleteDeploymentFrequency,
  deleteLeadTimeChange,
  deleteChangeFailureRate,
  deleteTimeToRestoreService,
  searchDeploymentsByIdPrefix,
} from '../services/doraMetrics/doraMetricsDbService'",5,,saveLeadTimeChange,../services/doraMetrics/doraMetricsDbService:saveLeadTimeChange,,,,5,,,-1
