124554051584,METHOD_RETURN,RET,19,"Promise<Response<any, Record<string, ANY>> | ANY>;express:Response:status:<returnValue>:json:<returnValue>",BY_VALUE,12,,,7,"Promise<Response<any, Record<string, ANY>> | ANY>","Promise<Response<any, Record<string, ANY>> | ANY>"
124554051585,METHOD_RETURN,RET,17,"Promise<Response<any, Record<string, ANY>> | ANY>;express:Response:status:<returnValue>:json:<returnValue>",BY_VALUE,32,,,7,"Promise<Response<any, Record<string, ANY>> | ANY>","Promise<Response<any, Record<string, ANY>> | ANY>"
124554051586,METHOD_RETURN,RET,20,"Promise<Response<any, Record<string, ANY>> | ANY>;express:Response:status:<returnValue>:json:<returnValue>",BY_VALUE,50,,,7,"Promise<Response<any, Record<string, ANY>> | ANY>","Promise<Response<any, Record<string, ANY>> | ANY>"
124554051587,METHOD_RETURN,RET,28,"Promise<Response<any, Record<string, ANY>> | ANY>;express:Response:status:<returnValue>:json:<returnValue>",BY_VALUE,85,,,7,"Promise<Response<any, Record<string, ANY>> | ANY>","Promise<Response<any, Record<string, ANY>> | ANY>"
124554051588,METHOD_RETURN,RET,23,"Promise<Response<any, Record<string, ANY>> | ANY>;express:Response:status:<returnValue>:json:<returnValue>",BY_VALUE,123,,,7,"Promise<Response<any, Record<string, ANY>> | ANY>","Promise<Response<any, Record<string, ANY>> | ANY>"
124554051589,METHOD_RETURN,RET,34,"Promise<Response<any, Record<string, ANY>> | ANY>;express:Response:json:<returnValue>",BY_VALUE,160,,,7,"Promise<Response<any, Record<string, ANY>> | ANY>","Promise<Response<any, Record<string, ANY>> | ANY>"
124554051590,METHOD_RETURN,RET,46,,BY_VALUE,210,,,6,void,void
124554051591,METHOD_RETURN,RET,48,{ id: ANY; uuid: ANY; name: ANY; group: ANY; metrics: { codeReview: ANY; technicalDebt: ANY; testQuality: ANY; documentation: ANY; deployment: ANY; dependencies: ANY; teamMorale: ANY; apiScore: ANY; combinedScore: ANY; }; created_at: ANY; },BY_VALUE,204,,,6,{ id: ANY; uuid: ANY; name: ANY; group: ANY; metrics: { codeReview: ANY; technicalDebt: ANY; testQuality: ANY; documentation: ANY; deployment: ANY; dependencies: ANY; teamMorale: ANY; apiScore: ANY; combinedScore: ANY; }; created_at: ANY; },{ id: ANY; uuid: ANY; name: ANY; group: ANY; metrics: { codeReview: ANY; technicalDebt: ANY; testQuality: ANY; documentation: ANY; deployment: ANY; dependencies: ANY; teamMorale: ANY; apiScore: ANY; combinedScore: ANY; }; created_at: ANY; }
124554051592,METHOD_RETURN,RET,26,"Promise<Response<any, Record<string, ANY>> | ANY>;express:Response:json:<returnValue>",BY_VALUE,191,,,7,"Promise<Response<any, Record<string, ANY>> | ANY>","Promise<Response<any, Record<string, ANY>> | ANY>"
124554051593,METHOD_RETURN,RET,0,controllers/aiController:ts::program:AIController:<init>;AIController,BY_VALUE,8,,,4,AIController,ANY
124554051594,METHOD_RETURN,RET,0,,BY_VALUE,1,,,4,,ANY
124554051595,METHOD_RETURN,RET,36,"Promise<Response<any, Record<string, ANY>> | ANY>;express:Response:status:<returnValue>:json:<returnValue>",BY_VALUE,13,,,7,"Promise<Response<any, Record<string, ANY>> | ANY>","Promise<Response<any, Record<string, ANY>> | ANY>"
